ATTBE,ATTEN,AUAGE,AUKEY,AUKNL,AUKNS,AUPIR,AUSAA,AUSAU,DISPO,EINHE,ETTBE,ETTEN,FGKEY,JTP,KEYLK,KEYLE,KEYLF,LUPDN,LUPDT,LUPDV,MENGE,ORTFR,ORTTO,STTBE,STTEN,UAZAK,UAZPL,XAU,ZINFO,DIB,PLKEY,AUDAT,AUABF,ATT20,RELFK,CINFO,FDAEN,FLAGS,MITAR,MAD,STLIK,PKART,PKL,PKLAS,PKLEA,PKNAM,PLE,EINH2,EINH3,EINH4,MENG2,MENG3,MENG4
1.2.2024 10:32 AM,,PTM,768087162,571268,571299,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,116,1.2.2024 10:40 AM,LOADCALC;1704188429725,36,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,301,
1.2.2024 10:32 AM,,PTM,768087163,571268,571319,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,17,1.2.2024 10:32 AM,lvapps7;1704187935829,14,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087164,571268,571327,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,16,1.2.2024 10:32 AM,lvapps7;1704187935829,3,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087165,571268,571352,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,70,1.2.2024 10:38 AM,LOADCALC;1704188308056,2,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:38 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,10,,,,GH  ,,,,,,,,,,,,89,
1.2.2024 10:32 AM,,GMS,768087166,571268,571369,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,50,1.2.2024 10:40 AM,LOADCALC,3,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,105,
1.2.2024 10:32 AM,,PTM,768087159,571268,571126,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,45,1.2.2024 10:40 AM,LOADCALC;1704188429815,5,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,62,
1.2.2024 10:32 AM,,GMS,768087167,571268,571383,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,74,1.2.2024 10:32 AM,lvapps7;1704187935829,1,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,10,,,,GH  ,,,,,,,,,,,,106,
,,PTM,768087295,571285,571391,,20,,MAUSGEP,,1.2.2024 1:50 PM,1.2.2024 2:00 PM,0,TRANS,,,,10,1.2.2024 9:31 AM,LOADCALC,6,253 ,T10,1.2.2024 1:36 PM,1.2.2024 1:46 PM,1,,1.2.2024 9:31 AM,,G,,1.2.2024 1:36 PM,,1.2.2024 3:28 AM,,6,,DIB=NE,,GH  ,,,,,,,,,,,,0,
,,PTM,768087296,571285,571405,,20,,MAUSGEP,,1.2.2024 1:50 PM,1.2.2024 2:00 PM,0,TRANS,,,,10,1.2.2024 9:31 AM,LOADCALC,1,253 ,T10,1.2.2024 1:36 PM,1.2.2024 1:46 PM,1,,1.2.2024 9:31 AM,,G,,1.2.2024 1:36 PM,,1.2.2024 3:28 AM,,8,,DIB=NE,,GH  ,,,,,,,,,,,,0,
,,GMS,768087298,571285,571437,,20,,MAUSGEP,,1.2.2024 1:50 PM,1.2.2024 2:00 PM,0,TRANS,,,,9,1.2.2024 9:31 AM,LOADCALC,5,253 ,T10,1.2.2024 1:36 PM,1.2.2024 1:46 PM,1,,1.2.2024 9:31 AM,,G,,1.2.2024 1:36 PM,,1.2.2024 3:28 AM,,6,,DIB=NE,,GH  ,,,,,,,,,,,,0,
,,PTM,768087305,571285,571528,,20,,MAUSGEP,,1.2.2024 1:50 PM,1.2.2024 2:00 PM,0,TRANS,,,,10,1.2.2024 9:31 AM,LOADCALC,4,253 ,T10,1.2.2024 1:36 PM,1.2.2024 1:46 PM,1,,1.2.2024 9:31 AM,,G,,1.2.2024 1:36 PM,,1.2.2024 3:28 AM,,8,,DIB=NE,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087168,571268,571400,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,50,1.2.2024 10:40 AM,LOADCALC;1704188429554,1,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,44,
1.2.2024 10:32 AM,,PTM,768087170,571268,571411,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,17,1.2.2024 10:32 AM,lvapps7;1704187935829,32,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087171,571268,571431,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,32,1.2.2024 10:32 AM,LOADCALC,1,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,10,,,,GH  ,,,,,,,,,,,,22,
1.2.2024 7:49 AM,,GMS,768087258,571619,571116,,75,,MAUSGEP,,1.2.2024 7:44 AM,1.2.2024 7:54 AM,0,TRANS,,3641413266,,27,1.2.2024 7:49 AM,lvapps7;1704178147475,2,209A,T01,1.2.2024 7:44 AM,1.2.2024 7:54 AM,1,,1.2.2024 7:49 AM,,2,,1.2.2024 7:44 AM,,1.2.2024 3:26 AM,,8,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 7:49 AM,,PTM,768087259,571619,571134,,75,,MAUSGEP,,1.2.2024 7:44 AM,1.2.2024 7:54 AM,0,TRANS,,3641413266,,29,1.2.2024 7:49 AM,lvapps7;1704178147475,13,209A,T01,1.2.2024 7:44 AM,1.2.2024 7:54 AM,1,,1.2.2024 7:49 AM,,2,,1.2.2024 7:44 AM,,1.2.2024 3:26 AM,,8,,,,GH  ,,,,,,,,,,,,0,
